"","X","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
"139",3,0.01,8,0,0.6,3,0.5,3400,0.409201461904972,0.476585631772154,0.253204492098288,0.0107130290332269,0.0170263341217452,0.0038112750542534
"140",6,0.01,8,0,0.6,3,0.75,3400,0.408553432805555,0.478105727713784,0.252464982948259,0.0107161932730459,0.0170192017749462,0.00380219278275556
"141",9,0.01,8,0,0.6,3,1,3400,0.407638736119823,0.480102569949876,0.251503111669518,0.0107587563815823,0.0171032018360834,0.00382665012109318
"142",12,0.01,8,0,0.8,3,0.5,3400,0.410739800402005,0.47299443706626,0.254617440259204,0.0106606969182777,0.016960340233528,0.00381829874807653
"143",15,0.01,8,0,0.8,3,0.75,3400,0.409880151063615,0.474994775781142,0.253683543495382,0.0106558117084913,0.0169826880221235,0.00378185823160223
"144",18,0.01,8,0,0.8,3,1,3400,0.408945976467192,0.476989396785318,0.252606709098892,0.0106896996406246,0.0170283279978459,0.00377683193033035
"145",1,0.01,8,0,0.6,3,0.5,3800,0.410234881656441,0.474257489501924,0.254094328935829,0.0114233845568534,0.0192199782100319,0.0038947281249918
"146",4,0.01,8,0,0.6,3,0.75,3800,0.40945165651952,0.476081178330495,0.25325824634627,0.0114811323611851,0.0193888549662483,0.00385942477052673
"147",7,0.01,8,0,0.6,3,1,3800,0.408243604355098,0.478722877332082,0.252084027407203,0.0116258662012911,0.0197254634475813,0.00383034774045284
"148",10,0.01,8,0,0.8,3,0.5,3800,0.41194186029762,0.470325204267793,0.25566059730477,0.011312423141006,0.0191182950381008,0.0038628455819492
"149",13,0.01,8,0,0.8,3,0.75,3800,0.410955565898359,0.472593302944823,0.254594589484521,0.0113813418522903,0.01929301929822,0.00382977583175371
"150",16,0.01,8,0,0.8,3,1,3800,0.409527062573246,0.475710216293846,0.253115302409483,0.0116099584941439,0.019766801426813,0.00388663371230385
"151",2,0.01,8,0,0.6,3,0.5,4000,0.410770743414035,0.473047399370212,0.254592542987365,0.0113961513781092,0.0191722544259393,0.00388204971783679
"152",5,0.01,8,0,0.6,3,0.75,4000,0.409940508889495,0.474967616245262,0.253713104606485,0.0114540050503766,0.0193359197463426,0.00386328487297814
"153",8,0.01,8,0,0.6,3,1,4000,0.408551124922282,0.478009108581098,0.252369004555264,0.0116082605886155,0.0196993587316671,0.00382237557065626
"154",11,0.01,8,0,0.8,3,0.5,4000,0.412550972817705,0.468964296150118,0.25622993800268,0.0112715442673236,0.0190536646592991,0.00385527445574919
"155",14,0.01,8,0,0.8,3,0.75,4000,0.411516067605062,0.47133446239872,0.255095327102285,0.0113609273731243,0.0192754911394341,0.00382996362490454
"156",17,0.01,8,0,0.8,3,1,4000,0.409930001972162,0.47478608031617,0.253470463031647,0.0116043746517227,0.0197550498077963,0.00388309470651301
"157",3,0.01,8,0,0.6,3,0.5,4300,0.41154475705574,0.471309247840275,0.255336412524266,0.0113496050986441,0.0191039254909481,0.00386439520903681
"158",6,0.01,8,0,0.6,3,0.75,4300,0.41068523036762,0.473281234380327,0.254406415378806,0.0114128891968943,0.0192691698239577,0.00385615594768718
"159",9,0.01,8,0,0.6,3,1,4300,0.409010391656819,0.476949247328059,0.252797784501037,0.0115821000240392,0.0196583738042571,0.00381075215194999
"160",12,0.01,8,0,0.8,3,0.5,4300,0.413459489749496,0.466955569905922,0.25706773079801,0.011238482855634,0.019008480689557,0.00386486333125411
"161",15,0.01,8,0,0.8,3,0.75,4300,0.4123428988492,0.469485961338972,0.255852464781952,0.0113369437395379,0.019253282309316,0.00384730781108485
"162",18,0.01,8,0,0.8,3,1,4300,0.410537445143171,0.473399093620016,0.254004234523666,0.0115938303646926,0.0197478650162947,0.00387646348197458
"163",1,0.01,8,0,0.6,3,0.5,4500,0.411962284566596,0.470423251964213,0.255802372384795,0.0106367493263866,0.0174373240620704,0.00410019093506583
"164",4,0.01,8,0,0.6,3,0.75,4500,0.410978624868865,0.472691767685056,0.254778866347931,0.0106484576235062,0.0174056219725717,0.00408092231636241
"165",7,0.01,8,0,0.6,3,1,4500,0.409120080370614,0.476759689737666,0.252958231883255,0.0105419109274428,0.0172024163691503,0.00397241983165308
"166",10,0.01,8,0,0.8,3,0.5,4500,0.413842255109987,0.466179837040193,0.257485016142573,0.0105790307076299,0.017263039480453,0.00419063291479433
"167",13,0.01,8,0,0.8,3,0.75,4500,0.412725419916371,0.468691864591359,0.256268579289675,0.0106827947524398,0.017495407174784,0.00414505982741422
"168",16,0.01,8,0,0.8,3,1,4500,0.410755704675976,0.472954246141765,0.254331368939514,0.0106230141165921,0.017512223700866,0.00408247278264905
"169",2,0.01,8,0,0.6,3,0.5,4700,0.412480856938569,0.469275938409124,0.256274381376858,0.0106549429453882,0.0174832126372918,0.00411850203392082
"170",5,0.01,8,0,0.6,3,0.75,4700,0.411455061917994,0.47162760649802,0.255215558534704,0.0106435008700363,0.0173871454305389,0.00407875724954734
